,Convective Available Potential Energy,K index,Cross totals index,Vertical totals index,Lifted index,Showalter index,waktu,hujan,petir,hujan 6 jam
0,508.22,35.4,20.1,22.9,-1.48,0.16,2016-01-01 00:00:00,0.0,1.0,0.0
1,508.22,35.4,20.1,22.9,-1.48,0.16,2016-01-01 12:00:00,0.0,0.0,0.0
2,952.96,32.2,19.2,22.1,-2.35,1.33,2016-01-02 00:00:00,0.0,0.0,0.0
3,952.96,32.2,19.2,22.1,-2.35,1.33,2016-01-02 12:00:00,0.0,0.0,0.0
4,276.15,33.7,17.1,23.1,-0.87,2.82,2016-01-03 00:00:00,0.0,1.0,0.0
5,276.15,33.7,17.1,23.1,-0.87,2.82,2016-01-03 12:00:00,0.0,0.0,0.0
6,938.36,18.0,19.6,22.7,-2.06,0.75,2016-01-04 00:00:00,0.0,0.0,0.0
7,938.36,18.0,19.6,22.7,-2.06,0.75,2016-01-04 12:00:00,0.0,0.0,0.0
8,135.81,21.1,16.3,23.3,0.16,3.59,2016-01-05 00:00:00,0.0,0.0,0.0
9,135.81,21.1,16.3,23.3,0.16,3.59,2016-01-05 12:00:00,0.0,0.0,0.0
10,156.8,14.7,14.7,21.7,1.5,5.12,2016-01-06 00:00:00,0.0,0.0,0.0
11,156.8,14.7,14.7,21.7,1.5,5.12,2016-01-06 12:00:00,0.0,0.0,0.0
12,414.94,32.3,17.9,23.9,-1.25,1.86,2016-01-07 00:00:00,1.0,1.0,0.0
13,414.94,32.3,17.9,23.9,-1.25,1.86,2016-01-07 12:00:00,0.0,0.0,0.0
14,144.08,23.3,12.7,23.7,0.43,5.91,2016-01-08 00:00:00,0.0,0.0,0.0
15,144.08,23.3,12.7,23.7,0.43,5.91,2016-01-08 12:00:00,0.0,0.0,0.0
16,269.54,29.3,16.5,22.5,-0.86,3.5,2016-01-09 00:00:00,0.0,1.0,0.0
17,269.54,29.3,16.5,22.5,-0.86,3.5,2016-01-09 12:00:00,0.0,0.0,0.0
18,153.22,33.9,18.4,21.5,0.06,2.04,2016-01-10 00:00:00,1.0,1.0,0.0
19,153.22,33.9,18.4,21.5,0.06,2.04,2016-01-10 12:00:00,0.0,0.0,0.0
20,481.8,28.3,17.9,25.9,-3.62,1.64,2016-01-11 00:00:00,1.0,0.0,0.0
21,481.8,28.3,17.9,25.9,-3.62,1.64,2016-01-11 12:00:00,0.0,0.0,0.0
22,0.0,21.7,18.1,24.1,0.1,1.98,2016-01-12 00:00:00,1.0,1.0,0.0
23,0.0,21.7,18.1,24.1,0.1,1.98,2016-01-12 12:00:00,0.0,1.0,1.0
24,271.95,27.4,19.4,23.9,-1.68,0.63,2016-01-13 00:00:00,1.0,1.0,0.0
25,271.95,27.4,19.4,23.9,-1.68,0.63,2016-01-13 12:00:00,0.0,0.0,0.0
26,14.05,23.9,16.9,23.9,0.39,2.53,2016-01-14 00:00:00,0.0,0.0,0.0
27,14.05,23.9,16.9,23.9,0.39,2.53,2016-01-14 12:00:00,0.0,0.0,0.0
28,390.93,35.4,17.5,24.5,-1.82,1.93,2016-01-15 00:00:00,1.0,1.0,0.0
29,390.93,35.4,17.5,24.5,-1.82,1.93,2016-01-15 12:00:00,0.0,0.0,0.0
30,309.84,28.1,13.1,24.1,-1.14,5.7,2016-01-16 00:00:00,1.0,1.0,0.0
31,309.84,28.1,13.1,24.1,-1.14,5.7,2016-01-16 12:00:00,0.0,1.0,1.0
32,923.77,34.1,18.6,23.1,-1.95,1.35,2016-01-17 00:00:00,1.0,1.0,0.0
33,923.77,34.1,18.6,23.1,-1.95,1.35,2016-01-17 12:00:00,0.0,0.0,0.0
34,708.35,32.9,19.9,22.5,-1.17,0.19,2016-01-18 00:00:00,1.0,1.0,0.0
35,708.35,32.9,19.9,22.5,-1.17,0.19,2016-01-18 12:00:00,0.0,1.0,0.0
36,158.77,35.5,20.2,23.1,-1.24,0.06,2016-01-19 00:00:00,,,
37,158.77,35.5,20.2,23.1,-1.24,0.06,2016-01-19 12:00:00,,,
38,659.98,33.4,20.2,23.5,-1.85,-0.21,2016-01-20 00:00:00,,,
39,659.98,33.4,20.2,23.5,-1.85,-0.21,2016-01-20 12:00:00,,,
40,559.57,36.8,20.7,23.1,-2.32,-0.25,2016-01-21 00:00:00,,,
41,559.57,36.8,20.7,23.1,-2.32,-0.25,2016-01-21 12:00:00,,,
42,2709.52,41.4,25.7,25.9,-6.3,-4.2,2016-01-22 00:00:00,,,
43,2709.52,41.4,25.7,25.9,-6.3,-4.2,2016-01-22 12:00:00,,,
44,1080.27,34.3,18.8,23.7,-2.72,1.21,2016-01-23 00:00:00,,,
45,1080.27,34.3,18.8,23.7,-2.72,1.21,2016-01-23 12:00:00,,,
46,242.51,32.3,18.1,24.1,-1.34,1.9,2016-01-24 00:00:00,,,
47,242.51,32.3,18.1,24.1,-1.34,1.9,2016-01-24 12:00:00,,,
48,36.01,35.4,18.9,23.9,-0.34,1.44,2016-01-25 00:00:00,,,
49,36.01,35.4,18.9,23.9,-0.34,1.44,2016-01-25 12:00:00,,,
50,368.52,34.5,19.8,20.3,-1.28,2.2,2016-01-26 00:00:00,,,
51,368.52,34.5,19.8,20.3,-1.28,2.2,2016-01-26 12:00:00,,,
52,30.3,33.6,17.3,23.3,0.79,2.62,2016-01-27 00:00:00,,,
53,30.3,33.6,17.3,23.3,0.79,2.62,2016-01-27 12:00:00,,,
54,1665.95,29.3,17.1,24.1,-2.87,2.26,2016-01-28 00:00:00,,,
55,1665.95,29.3,17.1,24.1,-2.87,2.26,2016-01-28 12:00:00,,,
56,703.47,31.1,16.7,23.7,-1.8,2.96,2016-01-29 00:00:00,,,
57,703.47,31.1,16.7,23.7,-1.8,2.96,2016-01-29 12:00:00,,,
58,1715.56,32.6,18.2,21.7,-2.15,2.05,2016-01-30 00:00:00,,,
59,1715.56,32.6,18.2,21.7,-2.15,2.05,2016-01-30 12:00:00,,,
60,1291.3,35.5,19.9,22.7,-2.09,0.19,2016-01-31 00:00:00,,,
61,1291.3,35.5,19.9,22.7,-2.09,0.19,2016-01-31 12:00:00,,,
62,1705.29,32.7,20.7,23.5,-4.06,-0.61,2016-02-01 00:00:00,1.0,0.0,0.0
63,1705.29,32.7,20.7,23.5,-4.06,-0.61,2016-02-01 12:00:00,1.0,0.0,0.0
64,189.08,30.3,20.5,23.3,-1.21,-0.32,2016-02-02 00:00:00,0.0,0.0,0.0
65,189.08,30.3,20.5,23.3,-1.21,-0.32,2016-02-02 12:00:00,1.0,0.0,0.0
66,344.24,35.2,20.5,21.1,-0.77,0.22,2016-02-03 00:00:00,1.0,0.0,0.0
67,344.24,35.2,20.5,21.1,-0.77,0.22,2016-02-03 12:00:00,1.0,0.0,0.0
68,24.6,36.8,19.0,22.1,0.52,1.35,2016-02-04 00:00:00,0.0,0.0,0.0
69,24.6,36.8,19.0,22.1,0.52,1.35,2016-02-04 12:00:00,0.0,0.0,0.0
70,327.62,37.6,21.2,25.1,-3.42,-1.06,2016-02-05 00:00:00,0.0,0.0,0.0
71,327.62,37.6,21.2,25.1,-3.42,-1.06,2016-02-05 12:00:00,0.0,0.0,0.0
72,1022.98,34.5,19.4,22.3,-1.83,0.69,2016-02-06 00:00:00,1.0,1.0,0.0
73,1022.98,34.5,19.4,22.3,-1.83,0.69,2016-02-06 12:00:00,1.0,0.0,0.0
74,1356.38,36.6,20.9,23.5,-3.45,-0.72,2016-02-07 00:00:00,1.0,0.0,0.0
75,1356.38,36.6,20.9,23.5,-3.45,-0.72,2016-02-07 12:00:00,1.0,1.0,1.0
76,142.58,34.8,20.1,21.9,-1.13,0.63,2016-02-08 00:00:00,1.0,0.0,0.0
77,142.58,34.8,20.1,21.9,-1.13,0.63,2016-02-08 12:00:00,1.0,0.0,0.0
78,138.24,35.7,19.2,23.5,-1.12,0.67,2016-02-09 00:00:00,0.0,0.0,0.0
79,138.24,35.7,19.2,23.5,-1.12,0.67,2016-02-09 12:00:00,0.0,0.0,0.0
80,493.21,35.7,18.8,23.1,-1.83,1.24,2016-02-10 00:00:00,0.0,0.0,0.0
81,493.21,35.7,18.8,23.1,-1.83,1.24,2016-02-10 12:00:00,1.0,0.0,0.0
82,83.41,36.0,18.3,23.3,-0.47,1.54,2016-02-11 00:00:00,1.0,1.0,0.0
83,83.41,36.0,18.3,23.3,-0.47,1.54,2016-02-11 12:00:00,1.0,1.0,1.0
