,Convective Available Potential Energy,K index,Cross totals index,Vertical totals index,Lifted index,Showalter index,waktu,hujan,petir,hujan 6 jam,selisih 1000,selisih 850,selisih 700,selisih 500
0,508.22,35.4,20.1,22.9,-1.48,0.16,2016-01-01 00:00:00,0.0,1.0,0.0,4.800000000000001,2.8000000000000007,3.299999999999999,-15.600000000000001
1,508.22,35.4,20.1,22.9,-1.48,0.16,2016-01-01 12:00:00,0.0,0.0,0.0,4.800000000000001,2.8000000000000007,3.299999999999999,-15.600000000000001
2,952.96,32.2,19.2,22.1,-2.35,1.33,2016-01-02 00:00:00,0.0,0.0,0.0,2.6999999999999993,2.9000000000000004,5.0,-30.200000000000003
3,952.96,32.2,19.2,22.1,-2.35,1.33,2016-01-02 12:00:00,0.0,0.0,0.0,2.6999999999999993,2.9000000000000004,5.0,-30.200000000000003
4,276.15,33.7,17.1,23.1,-0.87,2.82,2016-01-03 00:00:00,0.0,1.0,0.0,4.099999999999998,6.0,2.4000000000000004,-38.2
5,276.15,33.7,17.1,23.1,-0.87,2.82,2016-01-03 12:00:00,0.0,0.0,0.0,4.099999999999998,6.0,2.4000000000000004,-38.2
6,938.36,18.0,19.6,22.7,-2.06,0.75,2016-01-04 00:00:00,0.0,0.0,0.0,3.6999999999999993,3.099999999999998,20.0,-40.599999999999994
7,938.36,18.0,19.6,22.7,-2.06,0.75,2016-01-04 12:00:00,0.0,0.0,0.0,3.6999999999999993,3.099999999999998,20.0,-40.599999999999994
8,135.81,21.1,16.3,23.3,0.16,3.59,2016-01-05 00:00:00,0.0,0.0,0.0,6.0,7.0,14.0,-41.0
9,135.81,21.1,16.3,23.3,0.16,3.59,2016-01-05 12:00:00,0.0,0.0,0.0,6.0,7.0,14.0,-41.0
10,156.8,14.7,14.7,21.7,1.5,5.12,2016-01-06 00:00:00,0.0,0.0,0.0,6.0,7.0,19.0,-30.4
11,156.8,14.7,14.7,21.7,1.5,5.12,2016-01-06 12:00:00,0.0,0.0,0.0,6.0,7.0,19.0,-30.4
12,414.94,32.3,17.9,23.9,-1.25,1.86,2016-01-07 00:00:00,1.0,1.0,0.0,4.600000000000001,5.999999999999998,5.0,-19.0
13,414.94,32.3,17.9,23.9,-1.25,1.86,2016-01-07 12:00:00,0.0,0.0,0.0,4.600000000000001,5.999999999999998,5.0,-19.0
14,144.08,23.3,12.7,23.7,0.43,5.91,2016-01-08 00:00:00,0.0,0.0,0.0,4.599999999999998,11.000000000000002,10.0,-43.2
15,144.08,23.3,12.7,23.7,0.43,5.91,2016-01-08 12:00:00,0.0,0.0,0.0,4.599999999999998,11.000000000000002,10.0,-43.2
16,269.54,29.3,16.5,22.5,-0.86,3.5,2016-01-09 00:00:00,0.0,1.0,0.0,5.0,6.0,6.0,-20.4
17,269.54,29.3,16.5,22.5,-0.86,3.5,2016-01-09 12:00:00,0.0,0.0,0.0,5.0,6.0,6.0,-20.4
18,153.22,33.9,18.4,21.5,0.06,2.04,2016-01-10 00:00:00,1.0,1.0,0.0,5.0,3.0999999999999996,2.6999999999999993,-32.6
