,Convective Available Potential Energy,K index,Cross totals index,Vertical totals index,Lifted index,Showalter index,waktu,hujan,suhu 1000 hpa,dewpoint 1000 hpa,suhu 850 hpa,dewpoint 850 hpa,suhu 700 hpa,dewpoint 700 hpa,suhu 500 hpa,dewpoint 500 hpa
0,385.28,34.8,20.2,23.7,-2.27,0.4,2019-01-01 00:00:00,1.0,27.4,22.4,17.8,14.3,8.8,5.6,-5.9,-6.5
1,385.28,34.8,20.2,23.7,-2.27,0.4,2019-01-01 12:00:00,1.0,27.4,22.4,17.8,14.3,8.8,5.6,-5.9,-6.5
2,394.61,37.4,21.2,21.3,-1.3,0.19,2019-01-02 00:00:00,1.0,22.6,22.4,16.2,16.1,6.8,6.8,,
3,394.61,37.4,21.2,21.3,-1.3,0.19,2019-01-02 12:00:00,0.0,22.6,22.4,16.2,16.1,6.8,6.8,,
4,21.65,35.9,19.5,24.5,-0.5,0.75,2019-01-03 00:00:00,0.0,25.0,21.1,18.4,13.4,8.8,6.8,-6.1,-6.1
5,21.65,35.9,19.5,24.5,-0.5,0.75,2019-01-03 12:00:00,1.0,25.0,21.1,18.4,13.4,8.8,6.8,-6.1,-6.1
6,54.41,30.5,18.7,23.5,-0.17,1.82,2019-01-04 00:00:00,0.0,23.8,21.1,17.8,13.0,10.0,4.0,-5.7,-5.7
7,54.41,30.5,18.7,23.5,-0.17,1.82,2019-01-04 12:00:00,1.0,23.8,21.1,17.8,13.0,10.0,4.0,-5.7,-5.7
8,449.8,34.5,21.5,25.1,-2.42,-1.43,2019-01-05 00:00:00,1.0,25.6,21.7,19.0,15.4,9.8,3.8,-6.1,-7.6
9,449.8,34.5,21.5,25.1,-2.42,-1.43,2019-01-05 12:00:00,0.0,25.6,21.7,19.0,15.4,9.8,3.8,-6.1,-7.6
10,0.0,33.6,19.9,23.1,0.73,0.71,2019-01-06 00:00:00,1.0,25.8,18.8,17.8,14.6,9.2,5.1,-5.3,-9.9
11,0.0,33.6,19.9,23.1,0.73,0.71,2019-01-06 12:00:00,0.0,25.8,18.8,17.8,14.6,9.2,5.1,-5.3,-9.9
12,117.8,31.5,19.5,23.3,-0.87,1.0,2019-01-07 00:00:00,0.0,25.8,20.8,18.0,14.2,9.8,3.8,-5.3,22.3
13,117.8,31.5,19.5,23.3,-0.87,1.0,2019-01-07 12:00:00,0.0,25.8,20.8,18.0,14.2,9.8,3.8,-5.3,22.3
14,885.65,31.7,20.9,23.3,-2.92,-0.27,2019-01-08 00:00:00,0.0,25.4,21.7,17.8,15.4,9.8,2.8,-5.5,-7.3
15,885.65,31.7,20.9,23.3,-2.92,-0.27,2019-01-08 12:00:00,0.0,25.4,21.7,17.8,15.4,9.8,2.8,-5.5,-7.3
16,259.63,29.6,20.0,23.5,-2.03,0.69,2019-01-09 00:00:00,0.0,25.6,21.7,17.6,14.1,10.0,2.0,-5.9,10.1
17,259.63,29.6,20.0,23.5,-2.03,0.69,2019-01-09 12:00:00,0.0,25.6,21.7,17.6,14.1,10.0,2.0,-5.9,10.1
18,747.58,32.7,19.5,23.9,-2.92,1.05,2019-01-10 00:00:00,0.0,26.8,22.5,17.8,13.4,9.0,4.4,-6.1,-9.8
19,747.58,32.7,19.5,23.9,-2.92,1.05,2019-01-10 12:00:00,0.0,26.8,22.5,17.8,13.4,9.0,4.4,-6.1,-9.8
20,,,,,,,2019-01-11 00:00:00,0.0,,,,,,,,
21,,,,,,,2019-01-11 12:00:00,0.0,,,,,,,,
22,549.5,31.3,18.4,22.5,-1.27,2.17,2019-01-12 00:00:00,1.0,25.6,21.2,17.8,13.7,9.2,4.3,-4.7,19.7
23,549.5,31.3,18.4,22.5,-1.27,2.17,2019-01-12 12:00:00,0.0,25.6,21.2,17.8,13.7,9.2,4.3,-4.7,19.7
24,2018.84,38.4,21.8,21.9,-4.52,-0.61,2019-01-13 00:00:00,1.0,24.6,24.3,16.6,16.5,7.8,7.8,-5.3,-6.5
25,2018.84,38.4,21.8,21.9,-4.52,-0.61,2019-01-13 12:00:00,1.0,24.6,24.3,16.6,16.5,7.8,7.8,-5.3,-6.5
26,380.78,36.0,21.6,22.3,-2.09,-0.69,2019-01-14 00:00:00,1.0,26.2,22.7,17.2,16.5,8.8,6.0,-5.1,-7.6
27,380.78,36.0,21.6,22.3,-2.09,-0.69,2019-01-14 12:00:00,1.0,26.2,22.7,17.2,16.5,8.8,6.0,-5.1,-7.6
28,376.92,34.7,19.2,22.3,-1.58,1.6,2019-01-15 00:00:00,1.0,24.4,22.3,17.4,14.3,9.8,7.9,-4.9,-6.7
